record_date,tot_pub_debt_out_amt,debt_held_public_amt,intragov_hold_amt
2026-04-20,38992782604302.01,31343959370344.72,7648823233957.29
2026-04-17,38979318629209.68,31344221423413.60,7635097205796.08
2026-04-16,38985997093766.37,31359379088304.58,7626618005461.79
2026-04-15,38988471242937.32,31374528030445.60,7613943212491.72
2026-04-14,38933404100463.29,31327076933755.06,7606327166708.23
2026-04-13,38954924765330.86,31364172953118.05,7590751812212.81
2026-04-10,38946541987812.28,31363210882603.11,7583331105209.17
2026-04-09,38942790613086.55,31364679558344.11,7578111054742.44
2026-04-08,38949925615242.17,31373299420088.83,7576626195153.34
2026-04-07,38969941867504.03,31371921154820.79,7598020712683.24
2026-04-06,38994100716395.00,31413833699845.38,7580267016549.62
2026-04-03,38981755126540.77,31409491869379.24,7572263257161.53
2026-04-02,39000264506637.00,31409363156320.44,7590901350316.56
2026-04-01,39016191534959.54,31431328591198.51,7584862943761.03
2026-03-31,39065421393640.82,31431182280136.26,7634239113504.56
2026-03-30,39023028185485.25,31385929126772.90,7637099058712.35
2026-03-27,39015632027421.67,31388492802178.27,7627139225243.40
2026-03-26,38990389667489.38,31361115540758.11,7629274126731.27
2026-03-25,38990599081861.70,31363230287736.49,7627368794125.21
2026-03-24,38999855700424.49,31362014213440.21,7637841486984.28
2026-03-23,39006945786204.79,31385566969958.40,7621378816246.39
2026-03-20,39002071364584.97,31384605282290.22,7617466082294.75
2026-03-19,39002265870014.23,31385414419029.53,7616851450984.70
2026-03-18,38976827976841.63,31364647874667.34,7612180102174.29
2026-03-17,39016762910245.14,31379706593178.71,7637056317066.43
2026-03-16,38992187847500.92,31381345411579.55,7610842435921.37
2026-03-13,38902637810572.47,31300165451609.92,7602472358962.55
2026-03-12,38900879040970.80,31300175076619.99,7600703964350.81
2026-03-11,38882422422396.88,31285946384224.81,7596476038172.07
2026-03-10,38918862057676.91,31298790579980.06,7620071477696.85
2026-03-09,38882801672400.64,31280623244306.89,7602178428093.75
2026-03-06,38869818249468.38,31280012029379.25,7589806220089.13
2026-03-05,38873529611754.22,31281694069404.27,7591835542349.95
2026-03-04,38857671304563.85,31271271922985.85,7586399381578.00
2026-03-03,38853352399880.18,31268820109081.36,7584532290798.82
2026-03-02,38824463573452.26,31244382920777.66,7580080652674.60
2026-02-27,38769805982273.81,31186965290815.89,7582840691457.92
2026-02-26,38789591923403.59,31149029033685.39,7640562889718.20
2026-02-25,38764882203837.59,31126463055912.55,7638419147925.04
2026-02-24,38787781432126.22,31129399758399.04,7658381673727.18
2026-02-23,38758072042435.60,31113461801511.79,7644610240923.81
2026-02-20,38749020004219.30,31113584300966.47,7635435703252.83
2026-02-19,38743577500254.48,31112549990945.54,7631027509308.94
2026-02-18,38717487211821.37,31088483280078.60,7629003931742.77
2026-02-17,38720327822350.87,31087884326300.86,7632443496050.01
2026-02-13,38647355475525.93,31031921227566.66,7615434247959.27
2026-02-12,38647755796057.39,31032365231612.70,7615390564444.69
2026-02-11,38620772876638.50,31009198594125.31,7611574282513.19
2026-02-10,38645729764967.98,31010830716181.61,7634899048786.37
2026-02-09,38593206197018.13,30969105519646.32,7624100677371.81
2026-02-06,38588547251497.72,30969650188685.63,7618897062812.09
2026-02-05,38587617094083.77,30974189194630.76,7613427899453.01
2026-02-04,38564513699490.46,30956315394310.42,7608198305180.04
2026-02-03,38564278020214.60,30957184531162.23,7607093489052.37
2026-02-02,38515650269880.94,30915426727781.28,7600223542099.66
2026-01-30,38521368112341.66,30919122670062.31,7602245442279.35
2026-01-29,38568501122811.36,30898303196814.87,7670197925996.49
2026-01-28,38542542471886.84,30876617956619.42,7665924515267.42
2026-01-27,38567114207655.70,30878428226102.52,7688685981553.18
2026-01-26,38513523578580.59,30839469782091.59,7674053796489.00
2026-01-23,38491020558407.85,30839033479994.45,7651987078413.40
2026-01-22,38490798138585.90,30841780130036.30,7649018008549.60
2026-01-21,38473375474319.00,30825455797755.52,7647919676563.48
2026-01-20,38484705102395.33,30824259874597.25,7660445227798.08
2026-01-16,38460239071716.76,30811997567291.18,7648241504425.58
2026-01-15,38453108492348.67,30811929736380.71,7641178755967.96
2026-01-14,38396062667874.39,30787151283904.07,7608911383970.32
2026-01-13,38433852753680.03,30786665721842.47,7647187031837.56
2026-01-12,38437700892419.68,30802877100962.48,7634823791457.20
2026-01-09,38433330126292.37,30803872985803.55,7629457140488.82
2026-01-08,38432587259757.29,30806172192100.19,7626415067657.10
2026-01-07,38432287507801.52,30810025746721.36,7622261761080.16
2026-01-06,38430410089259.84,30809021616341.38,7621388472918.46
2026-01-05,38441088237227.94,30829627778734.90,7611460458493.04
2026-01-02,38422818570606.72,30830898741274.12,7591919829332.60
2025-12-31,38514009184232.72,30846716536213.26,7667292648019.46
2025-12-30,38372153717621.09,30758836564019.29,7613317153601.80
2025-12-29,38386384190622.68,30788927240091.41,7597456950531.27
2025-12-26,38380536147996.03,30789162165471.37,7591373982524.66
2025-12-24,38352846701813.17,30767152990652.20,7585693711160.97
2025-12-23,38375349596930.58,30765540678107.58,7609808918823.00
2025-12-22,38378413234316.13,30804343347355.44,7574069886960.69
2025-12-19,38372869364189.14,30804983565149.29,7567885799039.85
2025-12-18,38375371484790.79,30807754246644.19,7567617238146.60
2025-12-17,38378996619785.02,30816952898858.15,7562043720926.87
2025-12-16,38396179577012.10,30816834775843.42,7579344801168.68
2025-12-15,38419380255240.59,30852855298143.76,7566524957096.83
2025-12-12,38339541810902.33,30774528464721.58,7565013346180.75
2025-12-11,38349795034550.24,30787372595984.82,7562422438565.42
2025-12-10,38352200418068.14,30793542262019.16,7558658156048.98
2025-12-09,38377110471869.66,30793663184220.67,7583447287648.99
2025-12-08,38395956139411.28,30822913626328.95,7573042513082.33
2025-12-05,38390532833611.70,30822518818972.69,7568014014639.01
2025-12-04,38389369875885.10,30824381406045.22,7564988469839.88
2025-12-03,38403532042006.28,30843637085897.30,7559894956108.98
2025-12-02,38423764679404.02,30843863156002.45,7579901523401.57
2025-12-01,38425673178874.63,30853068463300.35,7572604715574.28
2025-11-28,38396211497613.65,30774117238206.31,7622094259407.34
2025-11-26,38335267983846.11,30720877603388.67,7614390380457.44
2025-11-25,38360841844745.79,30722912264691.05,7637929580054.74
